AttendanceID,AttendanceDate,CheckInTime,CheckOutTime,MemberID
342,2024-03-29,2024-03-29 08:30:00 AM,2024-03-29 09:45:00 AM,3
343,2024-03-30,2024-03-30 07:30:00 AM,2024-03-30 09:30:00 AM,1
344,2024-03-30,2024-03-30 08:30:00 AM,2024-03-30 09:45:00 AM,3
345,2024-03-31,2024-03-31 07:30:00 AM,2024-03-31 09:30:00 AM,1
346,2024-03-31,2024-03-31 08:30:00 AM,2024-03-31 09:45:00 AM,3
347,2024-04-01,2024-04-01 07:30:00 AM,2024-04-01 09:30:00 AM,1
348,2024-04-01,2024-04-01 08:30:00 AM,2024-04-01 09:45:00 AM,3
349,2024-04-02,2024-04-02 07:30:00 AM,2024-04-02 09:30:00 AM,1
350,2024-04-02,2024-04-02 08:30:00 AM,2024-04-02 09:45:00 AM,3
351,2024-04-03,2024-04-03 07:30:00 AM,2024-04-03 09:30:00 AM,1
352,2024-04-03,2024-04-03 08:30:00 AM,2024-04-03 09:45:00 AM,3
353,2024-04-04,2024-04-04 07:30:00 AM,2024-04-04 09:30:00 AM,1
354,2024-04-04,2024-04-04 08:30:00 AM,2024-04-04 09:45:00 AM,3
355,2024-04-05,2024-04-05 08:30:00 AM,2024-04-05 09:45:00 AM,3
356,2024-04-06,2024-04-06 08:30:00 AM,2024-04-06 09:45:00 AM,3
357,2024-04-06,2024-04-06 08:15:00 AM,2024-04-06 09:15:00 AM,2
358,2024-04-06,2024-04-06 08:45:00 AM,2024-04-06 09:15:00 AM,4
359,2024-04-06,2024-04-06 09:00:00 AM,2024-04-06 09:15:00 AM,5
360,2024-04-10,2024-04-10 10:23:00 PM,2024-04-10 10:28:12 PM,12
362,2024-04-12,2024-04-12 04:53:22 AM,2024-04-12 06:24:40 AM,13
